id,visit_id,site_url,expiry,host,name,value
6392,93085718261075,https://www.persol.com,2023-08-14T16:08:54.000Z,.demdex.net,demdex,85241990119379604550625797295490450677
6418,93085718261075,https://www.persol.com,2023-08-14T16:08:56.000Z,.demdex.net,dextp,121998-1-1676477336441
6413,93085718261075,https://www.persol.com,2023-08-14T16:08:56.000Z,.dpm.demdex.net,dpm,85241990119379604550625797295490450677
6438,93085718261075,https://www.persol.com,9999-12-31T21:59:59.000Z,.dynatrace.com,dtCookie,v_4_srv_4_sn_0ABB5954E66E126469EF0D3AC9CF4F9A_perc_100000_ol_0_mul_1_app-3Aea7c4b59f27d43eb_1
6404,93085718261075,https://www.persol.com,2023-03-18T16:08:55.000Z,.everesttech.net,ev_sync_dd,20230215
461,232613013306348,https://www.baume-et-mercier.com,2024-02-15T15:50:47.000Z,.linkedin.com,bcookie,"""v=2&f11f94a7-62f7-480a-84da-7796842c8b96"""
460,232613013306348,https://www.baume-et-mercier.com,2023-05-16T15:50:48.000Z,.linkedin.com,li_sugr,7f184207-c17b-40b4-81b4-c8ca1fbf4ff5
462,232613013306348,https://www.baume-et-mercier.com,2023-02-16T15:50:47.000Z,.linkedin.com,lidc,"""b=TGST09:s=T:r=T:a=T:p=T:g=2460:u=1:x=1:i=1676476247:t=1676562647:v=2:sig=AQGAc_frS0v7GDSwx76PWGA2anTt9H_d"""
450,232613013306348,https://www.baume-et-mercier.com,2023-02-15T16:05:39.000Z,.doubleclick.net,test_cookie,CheckForPermission
1210,275229411611567,https://www.esteelauder.ca,2023-02-15T16:23:50.000Z,.fonts.net,__cf_bm,h0ugdkfo.yjcT_txE2mDqaGvEgN7DxumkQyPcuqeQns-1676476430-0-AVv/2yEgQsjsj3Sf8No7/o6DY5tlhvpTnY2v5Z9ZnSWGWNZHARnuUu/M5jMcH5C+PPldpSFyqG/c9lY7RimeBys=
865,547005848739153,https://www.urbandecay.com,2023-02-15T16:51:53.000Z,.igodigital.com,igodigitalst_7299503,aaa2d17e-ad48-11ed-b1d8-868826fc4fe5
867,547005848739153,https://www.urbandecay.com,2023-02-15T16:51:53.000Z,.igodigital.com,igodigitalstdomain,32829
